Generation,RockUtility,PaperUtility,ScissorsUtility,LizardUtility,SpockUtility,TOTALUTILITY,RockSpecialists,PaperSpecialists,ScissorsSpecialists,LizardSpecialists,SpockSpecialists
0,1377.2967741935486,691.6681452556883,3413.796290322583,7514.132976066595,3167.2691324445805,16164.163318282994,0,0,13,166,21
1,1711.7177419354837,810.981158197711,3602.0267741935495,9008.682008324664,3976.354037543998,19109.761720195405,0,0,5,169,26
2,1886.443225806452,936.1033410341919,3766.4793548387083,10092.204547346517,4537.912704153689,21219.14317317956,0,0,3,174,23
3,2169.480161290323,1089.7325279027953,3941.901774193549,10168.446888657647,4982.047771842917,22351.609123887232,1,0,2,178,19
4,2258.2346774193547,1118.1758536415487,4020.6195161290316,10648.551331945886,5268.050082922518,23313.63146205834,0,0,1,182,17
5,2400.3243548387086,1237.7198923861715,4130.772419354837,10588.602450572327,5430.193620232608,23787.612737384654,0,0,0,188,12
6,2549.9298387096783,1324.8511502376414,4252.2225806451615,10690.545900104065,5683.123160354685,24500.67263005123,0,0,0,186,14
7,2678.071935483871,1406.2331335106965,4225.486290322577,10535.573907388136,6193.980181170279,25039.34544787556,0,0,1,188,11
8,2796.625967741936,1476.5054596168845,4332.465483870969,10548.080567117588,6276.52797014077,25430.205448488145,0,0,2,190,8
9,2921.590645161288,1522.4318864978804,4336.942580645164,10906.031748178983,6518.881291118778,26205.878151602094,0,0,0,193,7
10,3135.5717741935455,1517.8343739273662,4539.995806451611,10926.007721123831,6618.564913290928,26737.974588987283,0,0,1,195,4
11,3345.5233870967704,1582.4656387450784,4544.589677419354,11193.09348074922,6712.056114142932,27377.728298153357,0,0,0,191,9
12,3568.726612903225,1606.8084369563405,4553.00370967742,11089.703657648286,6774.43162882976,27592.674046015032,0,0,0,192,8
13,3778.5822580645167,1713.2507073736879,4550.653548387097,11118.092351716965,6705.069316129249,27865.64818167152,0,0,1,193,6
14,3764.2348387096786,1715.9587286009146,4714.371774193549,11402.932377731526,6944.671121533727,28542.168840769395,0,0,0,192,8
15,3922.5564516129048,1722.9215902514788,4791.761451612903,11637.280764828303,6907.903880965968,28982.424139271556,0,0,1,192,7
16,4001.4304838709677,1764.958091783256,4749.148709677418,11664.319536940691,6960.331727003391,29140.188549275725,0,0,0,191,9
17,3994.46,1719.2362151262246,4880.399032258066,11754.087778355884,6959.797647811007,29307.98067355118,0,0,1,194,5
18,4169.849354838711,1768.2883851706802,4849.567258064516,11808.43016129032,7105.036641619001,29701.171800983233,0,0,1,187,12
19,4274.989032258065,1738.4377659987301,4839.2882258064565,12031.659630593143,7084.686605217779,29969.061259874175,0,0,0,188,12
20,4269.274032258066,1770.9594176115424,4920.019516129035,12165.733303850162,6989.977758380829,30115.96402822963,0,0,0,194,6
21,4333.869999999998,1765.6114612144872,4976.1685483870915,12422.88361602497,7087.757694253149,30586.291319879692,0,0,0,196,4
22,4359.213387096776,1730.9142880726642,4948.852741935482,12551.75910509885,7153.821073999029,30744.560596202802,0,0,0,194,6
23,4389.107096774194,1847.0330551712477,4977.376612903226,12208.689812695107,7069.230526864703,30491.43710440848,0,0,0,194,6
24,4313.355967741935,1791.8945088691146,5053.024193548386,12273.765400624352,6989.113455255455,30421.15352603924,0,0,0,196,4
25,4435.894838709676,1850.4629643803055,5147.1690322580625,12236.673683662852,6923.9491215726375,30594.149640583535,0,0,0,198,2
26,4559.348548387097,1896.4312337062377,5159.506290322581,12491.013189386053,6920.574893188557,31026.874154990524,0,0,0,196,4
27,4526.044999999997,1984.115483408171,5301.973387096775,12073.813616024972,7145.221206522575,31031.168693052492,0,0,0,188,12
28,4504.439838709678,1949.6447249264838,5288.7051612903215,12626.93946409989,7093.163490805444,31462.892679831817,0,0,0,198,2
29,4556.265161290323,2042.9212769435105,5349.13306451613,12509.851956295526,7182.090894161509,31640.262353207,0,0,0,194,6
30,4525.354999999999,2019.0380468562932,5455.848064516132,12590.768626430798,6987.66597348803,31578.675711291256,0,0,0,195,5
31,4570.023225806452,2149.1432791116445,5434.905806451615,12825.722003121746,7057.884898119172,32037.679212610634,0,0,0,197,3
32,4507.994516129031,2233.8932927921596,5698.282096774195,12695.18378772112,7192.968618928485,32328.322312344993,0,0,0,191,9
33,4678.735806451613,2365.8556282179447,5721.334677419355,12455.378251821028,7031.428161870489,32252.73252578043,0,0,0,195,5
34,4508.670967741938,2445.7579532982936,5889.85193548387,12623.306326742966,7130.019979140634,32597.607162407698,0,0,1,195,4
35,4684.8829032258045,2545.087907291928,5838.710967741937,12483.095052029132,7096.101241017814,32647.87807130661,0,0,0,194,6
36,4646.944032258064,2594.0980109864454,5930.587741935488,12743.538158168572,7240.086835019002,33155.25477836757,0,0,0,195,5
37,4765.211129032259,2697.598866855604,5924.2183870967765,12626.21828824141,7185.365733597458,33198.61240482351,0,0,0,194,6
38,4769.882903225805,2789.1056467995427,6151.68080645162,12650.259667013532,7180.154795395777,33541.08381888628,0,0,0,199,1
39,4976.114354838708,2928.233291976212,6228.739999999998,12299.27873569199,7097.338018965487,33529.704401472394,0,0,2,195,3
40,5005.5387096774175,3055.8164250732975,6231.61177419355,12461.387554630595,7269.343455385039,34023.6979189599,0,0,1,195,4
41,5054.348870967742,3027.8695213185733,6428.345483870969,12166.252679500521,7211.931166235174,33888.74772189298,1,0,1,187,11
42,4979.987741935483,3153.5993805645808,6392.14080645161,12377.78603017691,7423.415680897764,34326.929640026356,0,0,1,193,6
43,5154.9456451612905,3281.9907894226517,6441.725806451614,12284.980296566084,7253.879029837082,34417.52156743872,0,0,0,193,7
44,5274.489838709679,3339.199098531392,6544.188548387097,12059.204323621228,7342.808042999689,34559.889852249085,0,0,1,192,7
45,5191.649193548387,3456.040490194957,6676.380322580649,12048.840598335068,7299.342970005024,34672.25357466408,0,0,3,190,7
46,5141.664193548387,3572.9072459701,6776.554838709678,12236.077903225807,7475.103730448352,35202.307911902324,0,0,1,197,2
47,5382.598709677418,3650.4784726818248,6693.121129032256,12045.013694068677,7585.51241283366,35356.72441829384,1,0,2,186,11
48,5171.547258064519,3773.4591495086347,6723.482903225809,12305.56616024974,7540.052403404011,35514.10787445271,0,0,3,187,10
49,5192.93806451613,3846.89974406764,6867.153548387096,12143.755733610824,7426.691761003111,35477.438851584804,0,0,3,188,9
50,5175.714193548386,3990.427945005215,6778.004354838709,11882.15547346515,7535.058888791569,35361.36085564903,0,0,1,187,12
51,5180.39258064516,4007.5286478046323,6739.526774193547,12053.968876170662,7655.559843660074,35636.97672247407,0,0,6,185,9
52,5306.083870967742,4024.410254051839,7034.449838709674,11889.36276274713,7264.62412687586,35518.93085335224,0,0,5,188,7
53,5269.728064516128,4213.726353936979,6987.331129032264,12023.127455775237,7374.278824900973,35868.19182816158,0,0,5,183,12
54,5413.753387096774,4377.366526628463,7013.000806451616,11585.930671175853,7539.28809524776,35929.33948660046,0,0,3,191,6
55,5560.151451612899,4346.001474374432,7127.408064516132,11887.76009365245,7366.821492342213,36288.142576498125,1,0,5,186,8
56,5625.986290322576,4586.506677501806,7059.838064516126,11772.593772112383,7296.908016078739,36341.83282053163,0,0,1,189,10
57,5741.986935483869,4671.1189504731,7210.704516129033,11524.490275754424,7356.1889819816015,36504.48965982204,0,0,4,182,14
58,5833.19,4568.359128402153,7321.619838709678,11583.75826742976,7395.830929967387,36702.75816450898,0,1,10,175,14
59,5854.793548387097,4741.564861459667,7248.9780645161345,11563.260837669095,7306.9466598127565,36715.543971844745,0,0,6,185,9
60,6136.584516129033,4798.4240935914695,7211.010645161288,11347.802710717999,7435.034950594384,36928.85691619417,3,0,2,184,11
